FECHA,ADUA_DESC,PAIS_DESC,PESO_NETO,FOB_DOLPOL_KG,VARIEDAD,TIPO DE PRODUCTO (ORGANICO CONVENCIONAL)
20220924,CHICLAYO,UNITED ARAB EMIRATES,13605,8.146343256155825,SIN_VARIEDAD,NO ORGANICO
20221010,CHICLAYO,CANADA,1748,6.001144164759725,VENTURA,NO ORGANICO
20221010,CHICLAYO,CANADA,8686,6.0002302555836975,EMERALD,NO ORGANICO
20221010,CHICLAYO,CANADA,3305,5.999697428139183,SPRINGHIGH,NO ORGANICO
20221013,PAITA,CANADA,6504,4.073493234932349,VENTURA,NO ORGANICO
20221013,PAITA,CANADA,10143,4.073745440205068,ATLAS,NO ORGANICO
20221013,PAITA,CANADA,6120,4.166666666666667,BILOXI,ORGANICO
20221013,PAITA,CANADA,7181,4.470129508425011,BILOXI,ORGANICO
20221020,PAITA,CANADA,10608,4.320135746606335,ATLAS,NO ORGANICO
20221020,PAITA,CANADA,6038,4.320470354421994,VENTURA,NO ORGANICO
20221124,PAITA,CANADA,10122,4.320292432325627,VENTURA,NO ORGANICO
20221124,PAITA,CANADA,5900,4.319830508474576,ATLAS,NO ORGANICO
20221201,PAITA,CANADA,7264,4.010049559471366,SIN_VARIEDAD,NO ORGANICO
20221201,PAITA,CANADA,5465,4.009881061299176,SIN_VARIEDAD,NO ORGANICO
20220922,PAITA,CANADA,13232,4.788996372430471,VENTURA,NO ORGANICO
20220922,PAITA,CANADA,2651,4.915126367408525,ATLAS,NO ORGANICO
20220926,CHICLAYO,CANADA,3256,5.999692874692875,SPRINGHIGH,NO ORGANICO
20220926,CHICLAYO,CANADA,6218,6.0,VENTURA,NO ORGANICO
20220926,CHICLAYO,CANADA,3825,6.0,EMERALD,NO ORGANICO
20220929,PAITA,CANADA,13627,4.166727819769575,VENTURA,NO ORGANICO
20220929,PAITA,CANADA,3019,4.166942696257038,ATLAS,NO ORGANICO
20221003,CHICLAYO,CANADA,5392,5.9996290801186944,EMERALD,NO ORGANICO
20221003,CHICLAYO,CANADA,4382,6.0,VENTURA,NO ORGANICO
20221003,CHICLAYO,CANADA,3966,5.999747856782653,SPRINGHIGH,NO ORGANICO
20221007,PAITA,CANADA,3048,4.043963254593176,VENTURA,NO ORGANICO
20221007,PAITA,CANADA,13599,4.04397382160453,ATLAS,NO ORGANICO
20220825,PAITA,CANADA,8225,5.122674772036474,BILOXI,ORGANICO
20220825,PAITA,CANADA,4308,4.859563602599814,BILOXI,ORGANICO
20220825,CHICLAYO,CANADA,11366,6.000175963399613,VENTURA,NO ORGANICO
20220825,CHICLAYO,CANADA,2295,6.0,SPRINGHIGH,NO ORGANICO
20220825,CHICLAYO,CANADA,109,5.981651376146789,EMERALD,NO ORGANICO
20220908,PAITA,CANADA,15524,6.005024478227261,VENTURA,NO ORGANICO
20220908,PAITA,CANADA,1122,6.005347593582887,ATLAS,NO ORGANICO
20220915,PAITA,CANADA,9955,6.005022601707685,VENTURA,NO ORGANICO
20220915,PAITA,CANADA,6691,6.005081452697653,ATLAS,NO ORGANICO
20220915,PAITA,CANADA,12158,8.697483138674125,BILOXI,ORGANICO
20220922,PAITA,CANADA,14608,4.449753559693319,VENTURA,NO ORGANICO
20220922,PAITA,CANADA,1345,4.756877323420074,ATLAS,NO ORGANICO
20220120,PAITA,CANADA,11750,8.014978723404255,BILOXI,ORGANICO
20220217,PAITA,CANADA,9816,7.108190709046455,BILOXI,ORGANICO
20221009,CHICLAYO,CHINA,11250,5.199911111111111,SIN_VARIEDAD,NO ORGANICO
20221009,CHICLAYO,CHINA,11250,5.238755555555556,SIN_VARIEDAD,NO ORGANICO
20221009,CHICLAYO,CHINA,11700,4.5141880341880345,VENTURA,NO ORGANICO
20221009,PAITA,CHINA,10491,5.545991802497379,VENTURA,NO ORGANICO
20221009,PAITA,CHINA,1209,5.54590570719603,ATLAS,NO ORGANICO
20221012,CHICLAYO,CHINA,11250,4.819644444444444,SIN_VARIEDAD,NO ORGANICO
20221012,CHICLAYO,CHINA,11250,4.816,SIN_VARIEDAD,NO ORGANICO
20221012,CHICLAYO,CHINA,11700,4.267435897435897,VENTURA,NO ORGANICO
20221012,CHICLAYO,CHINA,585,4.266666666666667,EMERALD,NO ORGANICO
20221014,PAITA,CHINA,11698,4.702342280731749,SIN_VARIEDAD,NO ORGANICO
20221014,CHICLAYO,CHINA,11250,4.062311111111111,VENTURA,NO ORGANICO
20221014,SALAVERRY,CHINA,11700,5.0,SIN_VARIEDAD,NO ORGANICO
20221014,SALAVERRY,CHINA,11700,5.0,SIN_VARIEDAD,NO ORGANICO
20221014,SALAVERRY,CHINA,11700,3.1466666666666665,SIN_VARIEDAD,NO ORGANICO
20221014,SALAVERRY,CHINA,11700,4.407179487179487,SIN_VARIEDAD,NO ORGANICO
20221019,CHICLAYO,CHINA,12285,5.115262515262515,VENTURA,NO ORGANICO
20221019,CHICLAYO,CHINA,11700,5.307264957264957,VENTURA,NO ORGANICO
20221019,CHICLAYO,CHINA,585,5.3076923076923075,EMERALD,NO ORGANICO
20221020,CHICLAYO,CHINA,11250,5.0408,SIN_VARIEDAD,NO ORGANICO
20221020,SALAVERRY,CHINA,11700,6.0860683760683765,SIN_VARIEDAD,NO ORGANICO
20221020,SALAVERRY,CHINA,11700,5.938974358974359,SIN_VARIEDAD,NO ORGANICO
20221020,SALAVERRY,CHINA,11700,6.057435897435897,SIN_VARIEDAD,NO ORGANICO
20221020,SALAVERRY,CHINA,11700,3.495982905982906,SIN_VARIEDAD,NO ORGANICO
20221020,CHICLAYO,CHINA,11250,4.969511111111111,SIN_VARIEDAD,NO ORGANICO
20221023,CHICLAYO,CHINA,11250,5.1536888888888885,VENTURA,NO ORGANICO
20221024,SALAVERRY,CHINA,11700,5.8276068376068375,SIN_VARIEDAD,NO ORGANICO
20221027,SALAVERRY,CHINA,11700,4.225982905982906,SIN_VARIEDAD,NO ORGANICO
20221027,SALAVERRY,CHINA,11700,5.5978632478632475,SIN_VARIEDAD,NO ORGANICO
20221027,SALAVERRY,CHINA,11700,3.578974358974359,SIN_VARIEDAD,NO ORGANICO
20221030,CHICLAYO,CHINA,11250,5.190666666666667,SIN_VARIEDAD,NO ORGANICO
20221030,CHICLAYO,CHINA,12285,6.542043142043142,SIN_VARIEDAD,NO ORGANICO
20221030,CHICLAYO,CHINA,11700,5.394273504273504,ATLAS,NO ORGANICO
20221030,CHICLAYO,CHINA,11250,4.9912,SIN_VARIEDAD,NO ORGANICO
20221105,CHICLAYO,CHINA,12285,6.858689458689459,SIN_VARIEDAD,NO ORGANICO
20221105,CHICLAYO,CHINA,12285,5.87977207977208,SIN_VARIEDAD,NO ORGANICO
20221105,SALAVERRY,CHINA,12396,5.499757986447241,SIN_VARIEDAD,NO ORGANICO
20221105,SALAVERRY,CHINA,11700,5.5,SIN_VARIEDAD,NO ORGANICO
20221105,SALAVERRY,CHINA,11700,5.5,SIN_VARIEDAD,NO ORGANICO
20221105,SALAVERRY,CHINA,12396,5.499757986447241,SIN_VARIEDAD,NO ORGANICO
20221109,SALAVERRY,CHINA,8550,4.216491228070176,SIN_VARIEDAD,NO ORGANICO
20221113,CHICLAYO,CHINA,11700,6.076068376068376,SIN_VARIEDAD,NO ORGANICO
20221113,SALAVERRY,CHINA,11700,5.3106837606837605,SIN_VARIEDAD,NO ORGANICO
20221123,PAITA,CHINA,11700,4.25059829059829,SIN_VARIEDAD,NO ORGANICO
20221123,CHICLAYO,CHINA,11250,5.423555555555556,VENTURA,NO ORGANICO
20221123,CHICLAYO,CHINA,11250,4.9,VENTURA,NO ORGANICO
20221123,PAITA,CHINA,11700,5.7874358974358975,SIN_VARIEDAD,NO ORGANICO
20220922,SALAVERRY,CHINA,11700,5.0,SIN_VARIEDAD,NO ORGANICO
20220922,PISCO,CHINA,11700,6.222649572649573,SIN_VARIEDAD,NO ORGANICO
20220923,CHICLAYO,CHINA,12285,6.0,SIN_VARIEDAD,NO ORGANICO
20220924,SALAVERRY,CHINA,11700,6.30948717948718,SIN_VARIEDAD,NO ORGANICO
20220924,SALAVERRY,CHINA,11700,4.55965811965812,SIN_VARIEDAD,NO ORGANICO
20220924,CHICLAYO,CHINA,11250,5.411555555555555,SIN_VARIEDAD,NO ORGANICO
20220924,SALAVERRY,CHINA,11700,6.836495726495727,SIN_VARIEDAD,NO ORGANICO
20220925,CHICLAYO,CHINA,12285,6.0,SIN_VARIEDAD,NO ORGANICO
20220925,CHICLAYO,CHINA,12285,6.8191290191290195,SIN_VARIEDAD,NO ORGANICO
20220926,SALAVERRY,CHINA,11700,4.512222222222222,SIN_VARIEDAD,NO ORGANICO
20220926,SALAVERRY,CHINA,11700,4.887008547008547,SIN_VARIEDAD,NO ORGANICO
